ID урока,ID модуля,Группа,Тариф,Этап,№ сказки в этапе,Неделя открытия,Номер встречи,Видео (ссылка),Рабочий лист (ссылка),Задания (текст),Бейдж,Баллы,Slug (не менять),Статус,Примечание
29,6,2 класс,Модуль с преподавателем,Этап 1,3,3,3,,,,Следопыт,2,grade-2-with_teacher-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
30,6,2 класс,Модуль с преподавателем,Этап 1,4,4,4,,,,Мастер пересказа,3,grade-2-with_teacher-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
31,6,2 класс,Модуль с преподавателем,Этап 2,1,5,5,,,,Первый шаг,2,grade-2-with_teacher-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
32,6,2 класс,Модуль с преподавателем,Этап 2,2,6,6,,,,Читатель,2,grade-2-with_teacher-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
33,6,2 класс,Модуль с преподавателем,Этап 2,3,7,7,,,,Следопыт,2,grade-2-with_teacher-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
34,6,2 класс,Модуль с преподавателем,Этап 2,4,8,8,,,,Мастер пересказа,3,grade-2-with_teacher-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
35,7,3 класс,Разовое занятие,Этап 1 или Этап 2 (выбор),1–4 (выбор при записи),1,1,,,,Первый шаг,2,grade-3-single-lesson-01,черновик,Разовое занятие: при записи выбирают этап (1 или 2) и любую сказку № 1–4 этого этапа
36,8,3 класс,Индивидуальное обучение,Этап 1,1,1,0,,,,Первый шаг,2,grade-3-self_paced-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
37,8,3 класс,Индивидуальное обучение,Этап 1,2,2,0,,,,Читатель,2,grade-3-self_paced-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
38,8,3 класс,Индивидуальное обучение,Этап 1,3,3,0,,,,Следопыт,2,grade-3-self_paced-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
39,8,3 класс,Индивидуальное обучение,Этап 1,4,4,0,,,,Мастер пересказа,3,grade-3-self_paced-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
40,8,3 класс,Индивидуальное обучение,Этап 2,1,5,0,,,,Первый шаг,2,grade-3-self_paced-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
41,8,3 класс,Индивидуальное обучение,Этап 2,2,6,0,,,,Читатель,2,grade-3-self_paced-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
42,8,3 класс,Индивидуальное обучение,Этап 2,3,7,0,,,,Следопыт,2,grade-3-self_paced-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
43,8,3 класс,Индивидуальное обучение,Этап 2,4,8,0,,,,Мастер пересказа,3,grade-3-self_paced-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
44,9,3 класс,Модуль с преподавателем,Этап 1,1,1,1,,,,Первый шаг,2,grade-3-with_teacher-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
45,9,3 класс,Модуль с преподавателем,Этап 1,2,2,2,,,,Читатель,2,grade-3-with_teacher-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
46,9,3 класс,Модуль с преподавателем,Этап 1,3,3,3,,,,Следопыт,2,grade-3-with_teacher-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
47,9,3 класс,Модуль с преподавателем,Этап 1,4,4,4,,,,Мастер пересказа,3,grade-3-with_teacher-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
48,9,3 класс,Модуль с преподавателем,Этап 2,1,5,5,,,,Первый шаг,2,grade-3-with_teacher-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
49,9,3 класс,Модуль с преподавателем,Этап 2,2,6,6,,,,Читатель,2,grade-3-with_teacher-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
50,9,3 класс,Модуль с преподавателем,Этап 2,3,7,7,,,,Следопыт,2,grade-3-with_teacher-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
51,9,3 класс,Модуль с преподавателем,Этап 2,4,8,8,,,,Мастер пересказа,3,grade-3-with_teacher-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
52,10,4 класс,Разовое занятие,Этап 1 или Этап 2 (выбор),1–4 (выбор при записи),1,1,,,,Первый шаг,2,grade-4-single-lesson-01,черновик,Разовое занятие: при записи выбирают этап (1 или 2) и любую сказку № 1–4 этого этапа
53,11,4 класс,Индивидуальное обучение,Этап 1,1,1,0,,,,Первый шаг,2,grade-4-self_paced-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
54,11,4 класс,Индивидуальное обучение,Этап 1,2,2,0,,,,Читатель,2,grade-4-self_paced-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
55,11,4 класс,Индивидуальное обучение,Этап 1,3,3,0,,,,Следопыт,2,grade-4-self_paced-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
56,11,4 класс,Индивидуальное обучение,Этап 1,4,4,0,,,,Мастер пересказа,3,grade-4-self_paced-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
57,11,4 класс,Индивидуальное обучение,Этап 2,1,5,0,,,,Первый шаг,2,grade-4-self_paced-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
58,11,4 класс,Индивидуальное обучение,Этап 2,2,6,0,,,,Читатель,2,grade-4-self_paced-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
59,11,4 класс,Индивидуальное обучение,Этап 2,3,7,0,,,,Следопыт,2,grade-4-self_paced-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
60,11,4 класс,Индивидуальное обучение,Этап 2,4,8,0,,,,Мастер пересказа,3,grade-4-self_paced-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
61,12,4 класс,Модуль с преподавателем,Этап 1,1,1,1,,,,Первый шаг,2,grade-4-with_teacher-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
62,12,4 класс,Модуль с преподавателем,Этап 1,2,2,2,,,,Читатель,2,grade-4-with_teacher-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
63,12,4 класс,Модуль с преподавателем,Этап 1,3,3,3,,,,Следопыт,2,grade-4-with_teacher-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
64,12,4 класс,Модуль с преподавателем,Этап 1,4,4,4,,,,Мастер пересказа,3,grade-4-with_teacher-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
65,12,4 класс,Модуль с преподавателем,Этап 2,1,5,5,,,,Первый шаг,2,grade-4-with_teacher-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
66,12,4 класс,Модуль с преподавателем,Этап 2,2,6,6,,,,Читатель,2,grade-4-with_teacher-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
67,12,4 класс,Модуль с преподавателем,Этап 2,3,7,7,,,,Следопыт,2,grade-4-with_teacher-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
68,12,4 класс,Модуль с преподавателем,Этап 2,4,8,8,,,,Мастер пересказа,3,grade-4-with_teacher-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
